empresa_id,ruc,proveedor,puntaje_comercial,comentarios,tiempo_promedio_pago_dias
1,1790008959001,Proveedor C,3.33,Draw number draw rock stand two recent.,13
2,1790008959001,Proveedor D,2.64,Certainly step performance effect mouth laugh major health phone opportunity consumer stay.,16
3,1790008959001,Proveedor D,4.29,Final seat plant face debate gas keep after so people bank.,42
4,1790008959001,Proveedor A,2.38,Up senior risk western cell every respond south.,5
5,1790008959001,Proveedor A,1.63,Lose avoid middle debate court able board do economy father me set themselves expect explain.,9
6,1790008959001,Proveedor B,2.34,Particular all wall artist anything up fire candidate.,70
7,1790008959001,Proveedor B,4.83,Product body wife father say perform reduce wear age trip the author adult top seat everything.,33
8,1790008959001,Proveedor E,1.48,Card remain leave commercial matter fund answer black only certainly budget population red follow bill organization.,16
9,1790008959001,Proveedor A,1.53,Do parent oil theory professional thus something most during every group.,47
10,1790008959001,Proveedor D,1.05,Think way lawyer success six offer someone beyond control meet discuss describe likely shoulder point consider.,27
11,1790008959001,Proveedor A,2.01,Large too those real once western tax.,41
12,1790008959001,Proveedor A,1.93,Production station foreign value seven give idea spring win point war baby huge third.,20
13,1790008959001,Proveedor B,2.04,To guess while present health late alone inside.,79
14,1790008959001,Proveedor E,2.17,Language good such message seek raise feel.,55
15,1790008959001,Proveedor C,4.43,Political expect very person join add leader toward knowledge fight prevent.,80
16,1790008959001,Proveedor C,1.34,Support present kind option fear make probably contain rest.,50
17,1790008959001,Proveedor D,3.9,Past right time ago himself street think single star always process everything community its authority eat.,7
18,1790008959001,Proveedor D,1.47,Side worry nor picture car least politics company seven financial trial culture girl rest each structure.,50
19,1790008959001,Proveedor C,4.27,Participant however significant provide question benefit teacher include give evidence society health.,73
20,1790008959001,Proveedor E,1.82,This husband size meet almost think despite address.,74
21,1790008959001,Proveedor E,1.66,People whether rock and look source response.,53
22,1790008959001,Proveedor E,4.66,Look none kid once report bring store subject finally think.,31
23,1790008959001,Proveedor D,4.5,Defense admit process wife major in young box push early speak administration good technology.,18
24,1790008959001,Proveedor A,4.45,Trouble director through fill myself realize middle when about soon.,48
25,1790008959001,Proveedor D,4.33,Record degree story option it onto staff eat tree require party three can.,81
26,1790008959001,Proveedor A,3.16,Focus old report beat maybe really fine store pick policy responsibility officer.,62
27,1790008959001,Proveedor E,4.41,Real traditional who respond today top along put return such behind whole black.,41
28,1790008959001,Proveedor A,4.47,Heavy quite well agree one behavior child executive budget major book avoid bank whether tree.,25
29,1790008959001,Proveedor E,1.34,Require on north thousand service of sound.,66
30,1790008959001,Proveedor A,1.27,Child in practice watch deep hold protect.,15
31,1790008959001,Proveedor D,3.0,Record everything last medical teacher market mean mind wife claim court others country smile project standard.,90
32,1790008959001,Proveedor D,1.73,Help represent performance anything local set begin hospital study control.,9
33,1790008959001,Proveedor B,2.02,Note group six machine society movie nature become.,22
34,1790008959001,Proveedor D,3.57,Possible simply law myself get join offer smile.,64
